entry_id,title,authors,year,venue,type,peer_reviewed,doi,openalex_id,cited_by_2026_08_28,is_oa,topic,role,claim_ids,used_by
CQ-COST-01,Asking Clarifying Questions: To benefit or to disturb users in Web search?,Jie Zou; Aixin Sun; Cheng Long; Mohammad Aliannejadi; Evangelos Kanoulas,2022,Information Processing & Management 60(2),article,yes,10.1016/j.ipm.2022.103176,W4310015411,14,true,clarifying-question,primary,C1;C2;C3,"plans/82 §6.4-①,§5.3,§5.4,§6.6-⑥"
PROG-01,Online aggregation,Joseph M. Hellerstein; Peter J. Haas; Helen J. Wang,1997,SIGMOD 1997,conference-paper,yes,10.1145/253260.253291,W2296677182,928,true,progressive-results,primary,C4,"plans/82 §6.4-⑤,§4.9,§5.6,§6.6-②"
HABIT-01,"Tuning Out Security Warnings: A Longitudinal Examination of Habituation Through fMRI, Eye Tracking, and Field Experiments1",Anthony Vance; Jeffrey L. Jenkins; Bonnie Brinton Anderson; Daniel Bjornn; C. Brock Kirwan,2018,MIS Quarterly 42(2),article,yes,10.25300/misq/2018/14124,W2804733712,134,false,habituation,primary,C5,"plans/82 §6.4-③,§5.4,§6.6-⑤"
HABIT-02,From Warning to Wallpaper: Why the Brain Habituates to Security Warnings and What Can Be Done About It,Bonnie Brinton Anderson; Anthony Vance; C. Brock Kirwan; Jeffrey L. Jenkins; David Eargle,2016,Journal of Management Information Systems 33(3),article,yes,10.1080/07421222.2016.1243947,W2560077776,98,false,habituation,supporting,C5,plans/82 §6.4-③
AUTONARROW-01,Shard ranking and cutoff estimation for topically partitioned collections,Anagha Kulkarni; Almer S. Tigelaar; Djoerd Hiemstra; Jamie Callan,2012,CIKM 2012,conference-paper,yes,10.1145/2396761.2396833,W2171144050,45,false,resource-selection,primary,C6,"plans/82 §6.4-④,§5.4,§6.6-④"
CQ-GEN-01,Generating Clarifying Questions for Information Retrieval,Hamed Zamani; Susan Dumais; Nick Craswell; Paul N. Bennett; Gord Lueck,2020,WWW 2020,conference-paper,yes,10.1145/3366423.3380126,W3003611599,222,true,clarifying-question,context,-,plans/82 §6.4
CQ-SEL-01,Asking Clarifying Questions in Open-Domain Information-Seeking Conversations,Mohammad Aliannejadi; Hamed Zamani; Fabio Crestani; W. Bruce Croft,2019,SIGIR 2019,conference-paper,yes,10.1145/3331184.3331265,W2955157382,202,true,clarifying-question,context,-,plans/82 §6.4
CQ-ANS-01,Analysing the Effect of Clarifying Questions on Document Ranking in Conversational Search,Antonios Minas Krasakis; Mohammad Aliannejadi; Nikos Voskarides; Evangelos Kanoulas,2020,ICTIR 2020,conference-paper,yes,10.1145/3409256.3409817,W3047936157,46,true,clarifying-question,supporting,C7,plans/82 §6.4
CQ-EVAL-01,Evaluating Mixed-initiative Conversational Search Systems via User Simulation,Ivan Sekulić; Mohammad Aliannejadi; Fábio Crestani,2022,WSDM 2022,conference-paper,yes,10.1145/3488560.3498440,W4212975704,55,true,evaluation-method,method,-,"plans/82 §5.5(S-D),§6.4"
CQ-DATA-01,MIMICS,Hamed Zamani; Gord Lueck; Everest Chen; Rodolfo Quispe; Flint Luu; Nick Craswell,2020,CIKM 2020,conference-paper,yes,10.1145/3340531.3412772,W3094347401,58,false,dataset,context,-,"plans/82 §6.4,§16.3"
CQ-RISK-01,Controlling the Risk of Conversational Search via Reinforcement Learning,Zhenduo Wang; Qingyao Ai,2021,arXiv preprint (2021),preprint,no,10.48550/arxiv.2101.06327,W3124902997,2,true,clarifying-question,alternative-rejected,C8,"plans/82 §6.4,§16.3"
CQ-NEED-01,ConvAI3: Generating Clarifying Questions for Open-Domain Dialogue Systems (ClariQ),Mohammad Aliannejadi; Julia Kiseleva; Aleksandr Chuklin; Jeff Dalton; Mikhail Burtsev,2020,arXiv preprint / ConvAI3 (2020),preprint,no,10.48550/arxiv.2009.11352,W3088168462,32,true,clarifying-question,context,-,plans/82 §6.4
PROG-02,Progressive Data Analysis and Visualization (Dagstuhl Seminar 18411),Jean‐Daniel Fekete; Danyel Fisher; Arnab Nandi; Michael Sedlmair,2019,Dagstuhl Reports 8(10) Seminar 18411,article,no,10.4230/dagrep.8.10.1,W2941429775,23,true,progressive-results,supporting,-,plans/82 §6.4-⑤
EMPTY-MFS-01,Minimization in Cooperative Response to Failing Database Queries,Parke Godfrey,1997,International Journal of Cooperative Information Systems 6(2),article,yes,10.1142/s0218843097000070,W2059676424,114,true,empty-answer,primary,C9;C10,"plans/82 §6,§7.4-⑥"
EMPTY-DIAG-01,Handling failing RDF queries: from diagnosis to relaxation,Géraud Fokou; Stéphane Jean; Allel Hadjali; Mickaël Baron,2016,Knowledge and Information Systems 50(1),article,yes,10.1007/s10115-016-0941-0,W2338775280,19,false,empty-answer,primary,C10,"plans/82 §6,§7.4-⑥"
EMPTY-RELAX-01,Relaxing join and selection queries,Nick Koudas; Chen Li; Anthony K. H. Tung; Rares Vernica,2006,VLDB 2006,article,yes,10.5555/1182635.1164146,W2100235843,97,false,query-relaxation,supporting,-,plans/82 §6
EMPTY-DUAL-01,Empty versus overabundant answers to flexible relational queries,Patrick Bosc; Allel Hadjali; Olivier Pivert,2008,Fuzzy Sets and Systems 159(12),article,yes,10.1016/j.fss.2008.01.007,W2078172199,40,false,empty-answer,supporting,-,plans/82 §6
EMPTY-ML-01,Machine learning for online query relaxation,Ion Muslea,2004,KDD 2004,conference-paper,yes,10.1145/1014052.1014081,W1999371820,60,false,query-relaxation,alternative-rejected,-,plans/82 §6(미채택 대조)
